T;alpha
700.699;0.0805432861115301
700.799;0.0806504239248481
700.899;0.0807634056188916
700.999;0.0808773612930565
701.099;0.0809942389075841
701.199;0.0811159864227172
701.299;0.0812387079179717
701.399;0.0813604554331048
701.499;0.081486098868722
701.599;0.0816156382248234
701.699;0.0817451775809261
701.799;0.0818698470364219
701.899;0.081991594551555
701.999;0.0821104201263254
702.099;0.0822156099794007
702.199;0.0823198258523546
702.299;0.0824308595861553
702.399;0.0825399453597147
702.499;0.0826461091929113
702.599;0.0827512990459866
702.699;0.0828564888990619
702.799;0.0829626527322572
702.899;0.083076608406422
702.999;0.0831827722396187
703.099;0.0832879620926939
703.199;0.0834009437867374
703.299;0.0835148994609023
703.399;0.0836288551350672
703.499;0.0837418368291107
703.599;0.0838567664833955
703.699;0.083969748177439
703.799;0.084087599772088
703.899;0.0842015554462529
703.999;0.0843164851005392
704.099;0.084430440774704
704.199;0.0845443964488689
704.299;0.0846583521230338
704.399;0.0847732817773187
704.499;0.0848862634713621
704.599;0.085000219145527
704.699;0.0851209926805388
704.799;0.0852349483547036
704.899;0.0853450081083844
704.999;0.085451171941581
705.099;0.0855563617946563
705.199;0.0856615516477302
705.299;0.0857677154809268
705.399;0.0858729053340021
705.499;0.0859780951870774
705.599;0.0860832850401526
705.699;0.0861962667341961
705.799;0.0863111963884824
705.899;0.0864271000228886
705.999;0.0865322898759639
706.099;0.0866374797290392
706.199;0.0867485134628399
706.299;0.0868683130177317
706.399;0.0869910345129861
706.499;0.0871127820281192
706.599;0.0872345295432523
706.699;0.0873562770583855
706.799;0.0874789985536399
706.899;0.087600746068773
706.999;0.0877273634845116
707.099;0.0878539809002502
707.199;0.0879757284153833
707.299;0.0881013718510006
707.399;0.0882309112071019
707.499;0.0883604505632046
707.599;0.0884909638994273
707.699;0.0886136853946804
707.799;0.0887344589296935
707.899;0.0888562064448266
707.999;0.0889691881388701
708.099;0.0890860657533978
708.199;0.0892078132685309
708.299;0.089329560783664
708.399;0.0894444904379502
708.499;0.0895662379530833
708.599;0.0896879854682164
708.699;0.0898097329833495
708.799;0.0899392723394509
708.899;0.0900688116955536
708.999;0.0901983510516549
709.099;0.0903317863282404
709.199;0.0904613256843431
709.299;0.0905918390205658
709.399;0.0907213783766671
709.499;0.0908518917128898
709.599;0.0909824050491126
709.699;0.0911061005244884
709.799;0.0912356398805898
709.899;0.0913729710776607
709.999;0.0915015364536407
710.099;0.0916232839687738
710.199;0.0917450314839069
710.299;0.09186677899904
710.399;0.0919885265141745
710.499;0.0921170918901544
710.599;0.0922417613456503
710.699;0.0923635088607848
710.799;0.0924852563759179
710.899;0.0926001860302027
710.999;0.0927190116049731
711.099;0.0928407591201062
711.199;0.0929644545954821
711.299;0.0930949679317048
711.399;0.0932245072878061
711.499;0.0933511247035447
711.599;0.0934728722186778
711.699;0.0936004636145378
711.799;0.0937309769507605
711.899;0.0938595423267405
711.999;0.0939910296430845
712.099;0.0941293348202769
712.199;0.0942725098980733
712.299;0.0944186069162325
712.399;0.0945705478151185
712.499;0.0947205407537632
712.599;0.0948676117520437
712.699;0.0950137087702043
712.799;0.0951598057883635
712.899;0.0953136946474922
712.999;0.0954656355463783
713.099;0.0956146545049016
713.199;0.0957607515230608
713.299;0.0959068485412213
713.399;0.0960529455593805
713.499;0.0961990425775411
713.599;0.0963441656155802
713.699;0.0964902626337394
713.799;0.0966392815922627
713.899;0.0967853786104219
713.999;0.0969314756285824
714.099;0.0970765986666216
714.199;0.0972149038438126
714.299;0.0973522350408821
714.399;0.0974895662379531
714.499;0.097626897435024
714.599;0.097765202612215
714.699;0.0979035077894059
714.799;0.0980408389864769
714.899;0.0981791441636678
714.999;0.0983096574998905
715.099;0.0984479626770815
715.199;0.0985862678542738
715.299;0.0987177551706165
715.399;0.0988472945267192
715.499;0.0989826777635474
715.599;0.0991170870202542
715.699;0.0992466263763556
715.799;0.0993849315535465
715.899;0.0995203147903747
715.999;0.0996576459874457
716.099;0.0997959511646366
